Cafe name,Contact,Website,Opening,Closing Hours,Pet Community Pages or Group,Google Maps,Entry Fee,
Cubbon Park,080-22864125,https://horticulture.karnataka.gov.in/,5:00 AM,8:00 PM,Cubbon Park Canines (Sunday meet-up group),https://maps.google.com/?cid=14279970654781693880&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Free,Parking is paid)
Petboro Dog Park,"080-42044800, 09538006126",http://petboro.in/,6:00 AM,8:00 AM,,https://maps.google.com/?cid=7014174718355877238&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Paid,Call to confirm price)
Kaikondrahalli Lake,NA,NA,5:00 AM,8:00 AM,,https://maps.google.com/?cid=9407933501352870995&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Free,
The Green Pocket,099003 33144,http://thegreenpocket.co.in/,6:00 AM,8:00 AM,,https://maps.google.com/?cid=17671274115984051920&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Free,Parking is paid)
Petboro Dog Park,"080-42044800, 09538006126",http://petboro.in/,4:00 PM,7:00 PM,,https://maps.google.com/?cid=7014174718355877238&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Paid,Offers complimentary pet trolleys for pets under 15kg)
Kaikondrahalli Lake,NA,NA,5:00 PM,7:00 PM,,https://maps.google.com/?cid=9407933501352870995&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Free,Dogs are allowed in the gardens on a leash)
The Green Pocket,099003 33144,http://thegreenpocket.co.in/,5:00 PM,7:00 PM,,https://maps.google.com/?cid=17671274115984051920&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Free,
Vega City Mall,080-41533036,https://nexusvegacity.com/,10:00 AM,10:00 PM,,https://maps.google.com/?cid=17613124629508962985&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Free,Check their website for safari rates and specific pet policies)
Bangalore Palace,080-23348123,http://www.bangalorepalace.org/,10:00 AM,5:30 PM,,https://maps.google.com/?cid=12824201691588268751&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Paid,Call to confirm price)
Nandi Hills,080-22864125,https://horticulture.karnataka.gov.in/,12:00 AM,11:59 PM,,https://maps.google.com/?cid=1601582899467478536&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Free,
Bannerghatta Biological Park,"+91-8029776443, +91-8029776445, 9606110055, 9901460492",https://bannerghattabiologicalpark.org/,9:30 AM,5:00 PM,,https://maps.google.com/?cid=5723844748630899295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Paid,
Mac's Dog Park,097427 06443,https://scentralpark.in/,7:00 AM,5:00 PM,,https://maps.google.com/?cid=1191980507875329364&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Paid,
Hennur Bamboo Forest,+91 80 2235 2828,NA,6:00 AM,8:00 AM,,https://maps.google.com/?cid=12868469717420719767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Free,
Madiwala Lake,NA,NA,5:00 AM,8:00 AM,,https://maps.google.com/?cid=17862248818907768161&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Free,
Hennur Bamboo Forest,+91 80 2235 2828,NA,4:00 PM,7:00 PM,,https://maps.google.com/?cid=12868469717420719767&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Free,
Madiwala Lake,NA,NA,5:00 PM,7:00 PM,,https://maps.google.com/?cid=17862248818907768161&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ,Free,
